,roles,companies,locations,experience,skills
0,immediate opening for data scientist/data analyst,caia-center for artificial intelligence & advanced analytics,"['Chennai', ' Pune', ' Bengaluru', ' Hyderabad']",0-3 yrs,"['Business Intelligence', 'Artificial Intelligence', 'Natural Language Processing', 'Neural Networks', 'Data Mining', 'Machine Learning', 'Deep Learning', 'SQL']"
1,data scientist - machine learning/statistical modeling,lericon informatics pvt. ltd.,['Delhi/NCR Delhi NCR'],0-3 yrs,"['Data Science', 'Azure', 'Data Scientist', 'Data Architect', 'Data Management', 'Statistical Modeling', 'Machine Learning', 'Python']"
2,data scientist - image recognition/machine learning,carbynetech india,['Hyderabad'],0-3 yrs,"['IT Skills', 'Java', 'Python', 'Machine Learning', 'Artificial Intelligence', 'NLP', 'Data Scientist', 'Time Series Analysis']"
3,data scientist - image processing/machine learning,carbynetech india,['Hyderabad'],0-3 yrs,"['Predictive Modeling', 'Data Science', 'Data Scientist', 'Time Series Analysis', 'Image Processing', 'Data Management', 'Machine Learning', 'Predictive Analytics']"
4,data scientist - image processing/ machine learning,carbynetech india,['Hyderabad'],0-3 yrs,"['Predictive Modeling', 'Data Science', 'Data Scientist', 'Time Series Analysis', 'Image Processing', 'Data Management', 'Statistical Analyst', 'Machine Learning']"
5,data scientist - machine learning/apics,carbynetech india,['Hyderabad'],0-3 yrs,"['Data Science', 'R', 'NLP', 'Artificial Intelligence', 'Data Management', 'Machine Learning', 'Python', 'Predictive Analytics']"
6,data scientist - machine learning/ python,carbynetech india,['Hyderabad'],0-3 yrs,"['Predictive Modeling', 'R', 'Data Scientist', 'Data Management', 'Machine Learning', 'Python', 'SQL']"
7,senior data scientist,flipkart,['Bengaluru'],0-3 yrs,"['Pytorch', 'Tensorflow', 'Data Science', 'NLP', 'Algorithms', 'Product Selection', 'Image Processing', 'Classification']"
8,data scientist- computer vision & image processing,24/7 customer,['Bengaluru'],0-3 yrs,"['IT Skills', 'Java', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Cloud', 'Big Data', 'Geometry']"
9,senior data scientist,groupon shared services,['Bengaluru'],0-3 yrs,"['Natural Language Processing', 'Machine Learning', 'Python']"
10,sr. data scientist,ave-promagne,"['Chennai', ' Bengaluru']",0-3 yrs,"['IT Skills', 'Python', 'Testing', 'Data Science', 'Machine Learning', 'Big Data', 'Data Science', 'Neural networks']"
11,senior data scientist- bangalore/ chennai,randstad india pvt ltd,"['Chennai', ' Bengaluru']",0-3 yrs,"['Machine Learning', 'Deep Learning', 'Python', 'Coding', 'AI']"
12,sr. manager - data scientist || piramal swasthya || hyderabad,piramal swasthya,['Hyderabad'],0-3 yrs,"['R', 'Data Scientist', 'Data Analysis', 'Neural Networks', 'Regression', 'Data Mining', 'Clustering', 'Statistical Analysis']"
13,senior data scientist,ormae llp,['Bengaluru'],0-3 yrs,"['R', 'Algorithms', 'Applied Statistics', 'MongoDB', 'Visualization Tools', 'Spark', 'Tableau', 'Applied Mathematics']"
14,sr. data scientist,netapp,['Bengaluru'],0-3 yrs,"['Product management', 'Automation', 'Data analysis', 'Consulting', 'Billing', 'Business intelligence', 'Ruby', 'SQL']"
15,data scientist machine learning,symmetrical global search pvt ltd,['Bengaluru'],0-3 yrs,"['deep learning', 'Data modeling', 'Coding', 'Machine learning', 'E-commerce', 'HTML', 'HR']"
16,urgent opening for data scientists,sitel,"['Mumbai', ' Hyderabad']",0-3 yrs,"['Pytorch', 'Data Science', 'Supervised Learning', 'NLP', 'Natural Language Processing', 'Keras', 'Machine Learning', 'Deep Learning']"
17,senior data scientist-machine learning,lending tree research services llp,['Ahmedabad(Makarba)'],0-3 yrs,"['IT Skills', 'Python', 'Machine Learning', 'R', 'Algorithms', 'data', 'Scientist', 'Data Modeling']"
18,senior data scientist,puresoftware pvt ltd.,"['Greater Noida', ' Gurgaon']",0-3 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Data Science', 'Pyspark', 'R', 'Artificial Intelligence', 'Advanced Analytics']"
19,lead data scientist,leading data science firm,"['Chennai', ' Mumbai', ' Bengaluru', ' Hyderabad']",0-3 yrs,"['Data Science', 'R', 'Python', 'Team Management', 'Process Documentation', 'Algorithms', 'Artificial Intelligence', 'Scripting Languages']"
20,senior data scientist for bangalore,kinara capital,['Bengaluru(1st Stage Indira Nagar +1)'],4-8 yrs,"['data analysis', 'statistical analytics', 'Mathematics', 'machine learning', 'business intelligence', 'financial services', 'sql', 'Engineering']"
21,sr. data scientist,globussoft,['Bengaluru(5th block Koramangala)'],4-8 yrs,"['IT Skills', 'Machine Learning', 'Predictive Modeling', 'Azure', 'AI', 'Neural Networks', 'Big Data', 'Data Mining']"
22,immediate hiring for principal data scientist - bangalore,randstad india pvt ltd,['Bengaluru'],4-8 yrs,"['IT Skills', 'Python', 'Testing', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'Data Science', 'R']"
23,senior data scientist,infoblox,['Bengaluru'],4-8 yrs,"['IT Skills', 'Java', 'Python', 'Data Science', 'Machine Learning', 'Elastic Search', 'Big Data', 'AWS']"
24,senior data scientist (remote / work from home),wallethub,"['Delhi NCR', ' Bengaluru', ' Hyderabad']",4-8 yrs,"['Data Science', 'Machine Learning', 'Python', 'Predictive Modeling', 'Artificial Intelligence']"
25,data scientist - rl ( reinforcement learning),axis bank,"['Chennai', ' Bengaluru', ' Hyderabad']",4-8 yrs,"['Reinforcement Learning', 'Deep Learning', 'Python', 'pytorch', 'Keras', 'TensorFlow']"
26,data scientist - machine learning,rpa infotech pvt.ltd,['Gurgaon'],4-8 yrs,"['Computer science', 'Operations research', 'data science', 'Bfsi', 'Network analysis', 'Machine learning', 'Social networking', 'Natural language processing']"
27,senior data scientist / machine learning / ai engineer,bion,['Bengaluru'],4-8 yrs,"['IT Skills', 'Java', 'J2EE', 'Software Development', 'HTML', 'Javascript', 'Java', 'Rest']"
28,senior data scientist / machine learning / ai engineer,bion,['Bengaluru'],4-8 yrs,"['IT Skills', 'Java', 'J2EE', 'Software Development', 'HTML', 'Javascript', 'Java', 'Rest']"
29,sr. manager - data scientist || piramal swasthya || hyderabad,piramal swasthya,['Hyderabad'],4-8 yrs,"['R', 'Data Scientist', 'Data Analysis', 'Neural Networks', 'Regression', 'Data Mining', 'Clustering', 'Statistical Analysis']"
30,data scientist,ai bridge ml,['Hyderabad'],4-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'R', 'Excel', 'Natural Language Processing', 'Statistical Modeling', 'Data Analytics']"
31,data scientist,viteos capital market services limited,"['Chennai', ' Mumbai', ' Bengaluru']",4-8 yrs,"['Algorithms', 'Data Analysis', 'Python', 'Java', 'Open Source', 'Build', 'SCALA', 'Data Collection']"
32,senior data scientist,bayer,['Bengaluru'],4-8 yrs,"['Data Science', 'Predictive Modeling', 'R', 'Genomics', 'operations research', 'AI', 'Genetics', 'Machine Learning']"
33,senior data scientist- computer vision,walmart labs,['Bengaluru'],4-8 yrs,"['Training', 'Computer vision', 'deep learning', 'data science', 'Neural networks', 'Machine learning', 'Agile', 'Wellness']"
34,trainer - data scientist/ aiml engineer,webi7 digital consultant llp,['Bengaluru(Marathahalli)'],4-8 yrs,"['Pytorch', 'Tensorflow', 'Data Science', 'Rnn', 'NLP', 'Artificial Intelligence', 'Machine Learning', 'Deep Learning']"
35,senior data scientist,levi strauss & co.,['Bengaluru'],4-8 yrs,"['Supply chain', 'Computer science', 'Cloud computing', 'C++', 'Automation', 'Networking', 'Machine learning', 'Open source']"
36,data scientist - 11,accenture,['Bengaluru'],4-8 yrs,"['IT Skills', 'Python', 'Analyst', 'Networking', 'Consulting', 'Manager Technology', 'Business modeling', 'professional services']"
37,data analyst / data scientist - c++/c#/java,confidential,['Hyderabad'],4-8 yrs,"['C#', 'Java', 'architecting', 'C++', 'software development', 'Data Scientist', 'Hadoop', 'Data Analysis']"
38,data scientist,mahindra finance,['Mumbai(Worli)'],4-8 yrs,"['Data Science', 'R', 'Python', 'Artificial Intelligence', 'Neural Networks', 'Data Processing', 'Analytics']"
