,roles,companies,locations,skills,experience
0,dbcg ind - gamma senior data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']","['computer science', 'advanced analytics', 'sds', 'data science', 'artificial intelligence', 'project management', 'machine learning', 'management consulting']",6-10 yrs
1,senior data scientist,eclerx services ltd.,"['pune', ' mumbai (all areas)']","['artificial intelligence', 'machine learning', 'python', 'predictive modeling', 'text analytics', 'natural language processing', 'hypothesis testing', 'database design']",6-10 yrs
2,senior data scientist | ces it ltd | cmmi level 5,ces ltd.,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']","['analytical', 'keras', 'object detection', 'tensorflow', 'pytorch', 'opencv', 'algorithm', 'python']",6-10 yrs
3,data scientist/senior data scientist,ganit business solutions private limited,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']","['predictive modeling', 'manufacturing analytics', 'python', 'data science', 'r', 'data quality', 'algorithms', 'vba']",6-10 yrs
4,senior data scientist,flipkart internet private limited,['california'],"['pytorch', 'tensorflow', 'data science', 'nlp', 'artificial intelligence', 'keras', 'computer vision', 'deep learning']",6-10 yrs
5,data scientist,cronj it technologies private limited,['bangalore/bengaluru'],"['it skills', 'python', 'data science', 'aws', 'tensorflow', 'java', 'c++', 'c']",6-10 yrs
6,staff data scientist,walmart global tech india,['other'],['na'],6-10 yrs
7,hiring for lead/senior data scientist - morningstar (product based),morningstar,['mumbai (all areas)'],"['it skills', 'python', 'testing', 'cloud', 'oracle', 'aws', 'azure', 'data science']",6-10 yrs
8,senior data scientist - bfsi,viaprom technologies pvt ltd,['mumbai'],"['data science', 'sas macros', 'sas eg', 'r', 'sas sql', 'sas', 'data scientist', 'sas di studio']",6-10 yrs
9,lead data scientist/senior lead data scientist,bajaj finserv,['pune'],"['gis', 'product management', 'computer science', 'postgresql', 'tibco', 'sdk', 'analytics', 'financial services']",6-10 yrs
10,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'analytical', 'olap', 'scrum', 'oltp', 'financial services', 'sql']",6-10 yrs
11,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'product quality', 'google analytics', 'agile', 'scrum', 'data privacy', 'seo']",6-10 yrs
12,lead data scientist/senior lead data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'solution design', 'agile scrum', 'lead', 'manager technology', 'subject matter expertise', 'management']",6-10 yrs
13,"sr. data scientist i, sip",invesco,['hyderabad/secunderabad'],"['exploratory data analysis', 'artificial intelligence', 'natural language processing', 'sentiment analysis', 'machine learning', 'deep learning', 'data science', 'decision forests']",6-10 yrs
14,gamma lead data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']","['data analysis', 'operations research', 'data science', 'data management', 'business analytics', 'consulting', 'management consulting', 'business strategy']",6-10 yrs
15,data scientist - machine learning,augmatrixgo,['bangalore/bengaluru'],"['hive', 'r', 'cloud computing', 'data scientist', 'computer vision', 'machine learning', 'deep learning', 'sql']",6-10 yrs
16,urgent opening for senior data scientists,abzooba india infotech private limited,['pune'],"['it skills', 'python', 'machine learning', 'artificial intelligence', 'big data', 'pyspark', 'time series analysis', 'natural language processing']",6-10 yrs
17,associate data scientist - crm & loyalty,shell india markets private limited,['bangalore/bengaluru'],"['direct marketing', 'multivariate analysis', 'r', 'data scientist', 'factor analysis', 'customer analytics', 'time series', 'market basket analysis']",6-10 yrs
18,data scientist - business analytics,philips india limited,['bangalore/bengaluru'],"['process automation', 'cloud computing', 'change management', 'operational excellence', 'business analytics', 'analytical', 'consulting', 'data mining']",6-10 yrs
19,data scientist,schneider electric india pvt. ltd.,['bangalore/bengaluru'],"['computer science', 'data analysis', 'automation', 'manager quality assurance', 'artificial intelligence', 'analytical', 'mysql', 'machine learning']",6-10 yrs
20,dbcg ind - gamma senior data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']","['computer science', 'advanced analytics', 'sds', 'data science', 'artificial intelligence', 'project management', 'machine learning', 'management consulting']",6-10 yrs
21,senior data scientist,eclerx services ltd.,"['pune', ' mumbai (all areas)']","['artificial intelligence', 'machine learning', 'python', 'predictive modeling', 'text analytics', 'natural language processing', 'hypothesis testing', 'database design']",6-10 yrs
22,senior data scientist | ces it ltd | cmmi level 5,ces ltd.,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']","['analytical', 'keras', 'object detection', 'tensorflow', 'pytorch', 'opencv', 'algorithm', 'python']",6-10 yrs
23,data scientist/senior data scientist,ganit business solutions private limited,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']","['predictive modeling', 'manufacturing analytics', 'python', 'data science', 'r', 'data quality', 'algorithms', 'vba']",6-10 yrs
24,senior data scientist,flipkart internet private limited,['california'],"['pytorch', 'tensorflow', 'data science', 'nlp', 'artificial intelligence', 'keras', 'computer vision', 'deep learning']",6-10 yrs
25,data scientist,cronj it technologies private limited,['bangalore/bengaluru'],"['it skills', 'python', 'data science', 'aws', 'tensorflow', 'java', 'c++', 'c']",6-10 yrs
26,staff data scientist,walmart global tech india,['other'],['na'],6-10 yrs
27,hiring for lead/senior data scientist - morningstar (product based),morningstar,['mumbai (all areas)'],"['it skills', 'python', 'testing', 'cloud', 'oracle', 'aws', 'azure', 'data science']",6-10 yrs
28,senior data scientist - bfsi,viaprom technologies pvt ltd,['mumbai'],"['data science', 'sas macros', 'sas eg', 'r', 'sas sql', 'sas', 'data scientist', 'sas di studio']",6-10 yrs
29,lead data scientist/senior lead data scientist,bajaj finserv,['pune'],"['gis', 'product management', 'computer science', 'postgresql', 'tibco', 'sdk', 'analytics', 'financial services']",6-10 yrs
30,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'analytical', 'olap', 'scrum', 'oltp', 'financial services', 'sql']",6-10 yrs
31,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'product quality', 'google analytics', 'agile', 'scrum', 'data privacy', 'seo']",6-10 yrs
32,lead data scientist/senior lead data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'solution design', 'agile scrum', 'lead', 'manager technology', 'subject matter expertise', 'management']",6-10 yrs
33,"sr. data scientist i, sip",invesco,['hyderabad/secunderabad'],"['exploratory data analysis', 'artificial intelligence', 'natural language processing', 'sentiment analysis', 'machine learning', 'deep learning', 'data science', 'decision forests']",6-10 yrs
34,gamma lead data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']","['data analysis', 'operations research', 'data science', 'data management', 'business analytics', 'consulting', 'management consulting', 'business strategy']",6-10 yrs
35,data scientist - machine learning,augmatrixgo,['bangalore/bengaluru'],"['hive', 'r', 'cloud computing', 'data scientist', 'computer vision', 'machine learning', 'deep learning', 'sql']",6-10 yrs
36,urgent opening for senior data scientists,abzooba india infotech private limited,['pune'],"['it skills', 'python', 'machine learning', 'artificial intelligence', 'big data', 'pyspark', 'time series analysis', 'natural language processing']",6-10 yrs
37,associate data scientist - crm & loyalty,shell india markets private limited,['bangalore/bengaluru'],"['direct marketing', 'multivariate analysis', 'r', 'data scientist', 'factor analysis', 'customer analytics', 'time series', 'market basket analysis']",6-10 yrs
38,data scientist - business analytics,philips india limited,['bangalore/bengaluru'],"['process automation', 'cloud computing', 'change management', 'operational excellence', 'business analytics', 'analytical', 'consulting', 'data mining']",6-10 yrs
39,data scientist,schneider electric india pvt. ltd.,['bangalore/bengaluru'],"['computer science', 'data analysis', 'automation', 'manager quality assurance', 'artificial intelligence', 'analytical', 'mysql', 'machine learning']",6-10 yrs
40,dbcg ind - gamma senior data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']","['computer science', 'advanced analytics', 'sds', 'data science', 'artificial intelligence', 'project management', 'machine learning', 'management consulting']",6-10 yrs
41,senior data scientist,eclerx services ltd.,"['pune', ' mumbai (all areas)']","['artificial intelligence', 'machine learning', 'python', 'predictive modeling', 'text analytics', 'natural language processing', 'hypothesis testing', 'database design']",6-10 yrs
42,senior data scientist | ces it ltd | cmmi level 5,ces ltd.,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']","['analytical', 'keras', 'object detection', 'tensorflow', 'pytorch', 'opencv', 'algorithm', 'python']",6-10 yrs
43,data scientist/senior data scientist,ganit business solutions private limited,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']","['predictive modeling', 'manufacturing analytics', 'python', 'data science', 'r', 'data quality', 'algorithms', 'vba']",6-10 yrs
44,senior data scientist,flipkart internet private limited,['california'],"['pytorch', 'tensorflow', 'data science', 'nlp', 'artificial intelligence', 'keras', 'computer vision', 'deep learning']",6-10 yrs
45,data scientist,cronj it technologies private limited,['bangalore/bengaluru'],"['it skills', 'python', 'data science', 'aws', 'tensorflow', 'java', 'c++', 'c']",6-10 yrs
46,staff data scientist,walmart global tech india,['other'],['na'],6-10 yrs
47,hiring for lead/senior data scientist - morningstar (product based),morningstar,['mumbai (all areas)'],"['it skills', 'python', 'testing', 'cloud', 'oracle', 'aws', 'azure', 'data science']",6-10 yrs
48,senior data scientist - bfsi,viaprom technologies pvt ltd,['mumbai'],"['data science', 'sas macros', 'sas eg', 'r', 'sas sql', 'sas', 'data scientist', 'sas di studio']",6-10 yrs
49,lead data scientist/senior lead data scientist,bajaj finserv,['pune'],"['gis', 'product management', 'computer science', 'postgresql', 'tibco', 'sdk', 'analytics', 'financial services']",6-10 yrs
50,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'analytical', 'olap', 'scrum', 'oltp', 'financial services', 'sql']",6-10 yrs
51,senior data scientist/senior data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'product quality', 'google analytics', 'agile', 'scrum', 'data privacy', 'seo']",6-10 yrs
52,lead data scientist/senior lead data scientist,bajaj finserv,['pune'],"['product management', 'computer science', 'solution design', 'agile scrum', 'lead', 'manager technology', 'subject matter expertise', 'management']",6-10 yrs
53,"sr. data scientist i, sip",invesco,['hyderabad/secunderabad'],"['exploratory data analysis', 'artificial intelligence', 'natural language processing', 'sentiment analysis', 'machine learning', 'deep learning', 'data science', 'decision forests']",6-10 yrs
